2023-11-01 09:24:51

Description 
===========

Start 0uA, 
Step 0.1uA, 
Stop 26uA, 
Integration 1000ms, 
Trigger 100mV
dc


IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT
24.75	3.712	0.0	2.99	0.001	0.886	0.003	0.921	0.001	0	0	0	25	0	0	843696433	0	1000.0
25.0	3.748	-0.001	3.018	0.0	0.895	0.002	0.927	-0.002	0	0	0	161	0	0	843691674	0	1000.0
25.25	3.785	-0.001	3.05	-0.002	0.903	-0.002	0.94	0.001	0	0	0	513	0	0	843691537	0	1000.0
25.5	3.822	0.0	3.08	-0.002	0.914	-0.001	0.946	0.0	0	0	0	2089	0	0	843700011	0	1000.0
25.75	3.86	-0.001	3.111	-0.002	0.92	0.002	0.957	-0.002	0	0	0	7517	0	0	843711589	0	1000.0
26.0	3.897	0.001	3.143	0.0	0.926	-0.0	0.964	-0.004	0	0	0	25311	0	0	843711486	0	1000.0
26.25	3.936	-0.006	3.172	-0.002	0.935	0.002	0.973	-0.003	0	0	0	82505	0	0	843639057	0	1000.0
26.5	3.97	0.001	3.223	0.002	0.946	-0.002	0.981	0.0	0	0	0	261069	0	0	843670580	0	1000.0
26.75	4.01	-0.003	3.258	2.953	0.957	-0.002	0.991	-0.004	0	0	0	1	0	0	843678258	0	1000.0
27.0	4.046	-0.001	3.287	3.009	0.967	0.001	1.004	-0.004	0	0	0	0	0	0	843694486	0	1000.0
27.25	4.086	0.0	3.317	3.038	0.973	-0.0	1.013	-0.004	0	0	0	0	0	0	843700456	0	1000.0
27.5	4.125	0.002	3.349	3.068	0.983	-0.0	1.023	0.0	0	0	0	0	0	0	843686461	0	1000.0
27.75	4.163	-0.001	3.38	3.099	0.99	0.003	1.033	-0.001	0	0	0	0	0	0	843687250	0	1000.0
28.0	4.195	-0.001	3.446	3.126	1.002	-0.002	1.043	-0.001	0	0	0	0	0	0	843675662	0	1000.0
28.25	4.234	-0.001	3.482	3.155	1.008	-0.0	1.049	-0.004	0	0	0	0	0	0	843678282	0	1000.0
28.5	4.271	0.0	3.512	3.256	1.014	0.001	1.06	-0.001	0	0	0	0	0	0	843677638	0	1000.0
28.75	4.31	-0.001	3.543	3.368	1.03	-0.002	1.067	-0.001	0	0	0	0	0	0	843680998	0	1000.0
29.0	4.346	-0.001	3.582	3.402	1.036	0.001	1.079	-0.001	0	0	0	0	0	0	843689620	0	1000.0
29.25	4.388	-0.003	3.612	3.431	1.04	-0.001	1.086	-0.003	0	0	0	0	0	0	843702903	0	1000.0
29.5	4.424	-0.001	3.643	3.463	1.052	0.003	1.094	-0.004	0	0	0	0	0	0	843695988	0	1000.0
29.75	4.461	-0.001	3.722	3.492	1.064	-0.0	1.106	-0.002	0	0	0	0	0	0	843690932	0	1000.0
30.0	4.498	-0.001	3.751	3.521	1.072	0.004	1.117	0.002	0	0	0	0	0	0	843702394	0	1000.0
30.25	4.535	-0.003	3.783	3.554	1.081	0.523	1.126	-0.004	0	0	0	0	0	1	843693587	0	1000.0
30.5	4.571	0.0	3.817	3.583	1.088	0.529	1.132	-0.003	0	0	0	0	0	0	843654248	0	1000.0
30.75	4.607	-0.001	3.849	3.651	1.1	0.53	1.142	-0.004	0	0	0	0	0	0	843672574	0	1000.0
31.0	4.647	-0.001	3.88	3.683	1.111	0.538	1.155	-0.001	0	0	0	0	0	0	843675268	0	1000.0
31.25	4.683	-0.001	3.912	3.712	1.117	0.542	1.164	-0.002	0	0	0	0	0	0	843682077	0	1000.0
31.5	4.723	0.0	3.94	3.783	1.121	0.545	1.172	-0.004	0	0	0	0	0	0	843697523	0	1000.0
31.75	4.76	0.0	3.971	3.81	1.135	0.549	1.179	-0.002	0	0	0	0	0	0	843707714	0	1000.0
32.0	4.796	-0.001	4.007	3.841	1.147	0.555	1.189	-0.001	0	0	0	0	0	0	843718793	0	1000.0
32.25	4.832	-0.001	4.039	3.873	1.149	0.559	1.198	-0.008	0	0	0	0	0	0	843723005	0	1000.0
32.5	4.871	-0.001	4.068	3.902	1.161	0.562	1.204	0.001	0	0	0	0	0	0	843707257	0	1000.0
32.75	4.908	-0.003	4.098	3.937	1.171	0.567	1.218	-0.002	0	0	0	0	0	0	843698536	0	1000.0
33.0	4.95	0.0	4.132	3.962	1.175	0.574	1.223	0.0	0	0	0	0	0	0	843700946	0	1000.0
33.25	4.986	-0.001	4.166	4.0	1.188	0.576	1.233	-0.002	0	0	0	0	0	0	843699743	0	1000.0
33.5	5.02	-0.001	4.198	4.029	1.196	0.581	1.245	-0.002	0	0	0	0	0	0	843701450	0	1000.0
33.75	5.059	-0.006	4.225	4.063	1.203	0.584	1.252	-0.004	0	0	0	0	0	0	843707032	0	1000.0
34.0	5.098	4.15	4.259	4.095	1.213	0.591	1.262	0.579	0	0	0	0	0	0	843696975	1	1000.0
34.25	5.136	4.188	4.292	4.167	1.224	0.593	1.271	0.581	0	0	0	0	0	0	843693678	0	1000.0
34.5	5.172	4.217	4.321	4.194	1.233	0.599	1.28	0.582	0	0	0	0	0	0	843706822	0	1000.0
34.75	5.211	4.248	4.354	4.225	1.238	0.606	1.292	0.59	0	0	0	0	0	0	843653130	0	1000.0
35.0	5.246	4.283	4.387	4.26	1.248	0.607	1.298	0.596	0	0	0	0	0	0	843666772	0	1000.0
35.25	5.285	4.312	4.418	4.291	1.26	0.611	1.309	0.599	0	0	0	0	0	0	843673677	0	1000.0
35.5	5.319	4.346	4.45	4.323	1.266	0.613	1.318	0.606	0	0	0	0	0	0	843679353	0	1000.0
35.75	5.358	4.376	4.482	4.357	1.278	0.62	1.327	0.61	0	0	0	0	0	0	843701474	0	1000.0
36.0	5.396	4.407	4.513	4.386	1.288	0.625	1.338	0.611	0	0	0	0	0	0	843705488	0	1000.0
36.25	5.436	4.439	4.765	4.421	1.29	0.63	1.347	0.616	0	0	0	0	0	0	843709695	0	1000.0
36.5	5.473	4.5	4.797	4.455	1.302	0.635	1.357	0.621	0	0	0	0	0	0	843704410	0	1000.0
36.75	5.512	4.53	4.831	4.484	1.312	0.637	1.367	0.626	0	0	0	0	0	0	843709776	0	1000.0
37.0	5.548	4.564	4.863	4.518	1.32	0.642	1.372	0.63	0	0	0	0	0	0	843699678	0	1000.0
37.25	5.585	4.595	4.899	4.548	1.327	0.647	1.379	0.633	0	0	0	0	0	0	843703138	0	1000.0
37.5	5.622	4.628	4.934	4.582	1.34	0.65	1.391	0.635	0	0	0	0	0	0	843711824	0	1000.0
37.75	5.658	4.656	4.965	4.618	1.347	0.657	1.399	0.643	0	0	0	0	0	0	843703109	0	1000.0
38.0	5.695	4.691	4.999	4.645	1.356	0.661	1.408	0.647	0	0	0	0	0	0	843708758	0	1000.0
38.25	5.733	4.724	5.03	4.681	1.363	0.668	1.423	0.652	0	0	0	0	0	0	843691474	0	1000.0
38.5	5.77	4.757	5.065	4.714	1.373	0.672	1.428	0.655	0	0	0	0	0	0	843697798	0	1000.0
38.75	5.809	4.788	5.131	4.75	1.383	0.674	1.438	0.657	0	0	0	0	0	0	843695040	0	1000.0
39.0	5.849	4.82	5.165	4.78	1.391	0.677	1.448	0.665	0	0	0	0	0	0	843706403	0	1000.0
39.25	5.885	4.849	5.197	4.814	1.399	0.681	1.454	0.664	0	0	0	0	0	0	843698388	0	1000.0
39.5	5.921	4.881	5.228	4.842	1.407	0.689	1.465	0.674	0	0	0	0	0	0	843701991	0	1000.0
39.75	5.961	4.913	5.266	4.882	1.415	0.694	1.475	0.677	0	0	0	0	0	0	843704426	0	1000.0
40.0	6.0	4.947	5.3	4.921	1.431	0.697	1.485	0.682	0	0	0	0	0	0	843685761	0	1000.0
